,,0
R_HiWageWk,HH,0.7125341582266599
R_HiWageWk,AutoOwn2p,0.6980256495257776
R_HiWageWk,Workers,0.918884368471795
R_HiWageWk,R_LowWageWk,0.7089601668345672
R_HiWageWk,R_MedWageWk,0.5879980871828543
R_HiWageWk,R_HiWageWk,1.0
R_HiWageWk,R_PCTLOWWAGE,-0.6527632259637386
R_HiWageWk,TotEmp,0.6560102056797461
R_HiWageWk,E5_Ret,0.6146528500483753
R_HiWageWk,E5_Svc,0.58793925885946
R_HiWageWk,E8_Ret,0.6146528500483753
R_HiWageWk,E8_off,0.5083768737290593
R_HiWageWk,E8_Svc,0.6027035529685735
R_HiWageWk,E_LowWageWk,0.5410750212224509
R_HiWageWk,E_HiWageWk,0.6863614690839871
R_PCTLOWWAGE,R_HiWageWk,-0.6527632259637386
R_PCTLOWWAGE,R_PCTLOWWAGE,1.0
R_PCTLOWWAGE,E_PctLowWage,0.5784013783844566
TotEmp,TotPop,0.6322200570493062
TotEmp,HH,0.661860045334303
TotEmp,AutoOwn1,0.6126072608646913
TotEmp,Workers,0.6738745750074977
TotEmp,R_LowWageWk,0.6076696711071915
TotEmp,R_MedWageWk,0.5122846973324845
TotEmp,R_HiWageWk,0.6560102056797461
TotEmp,TotEmp,1.0
TotEmp,E5_Ret,0.8215688107506605
TotEmp,E5_Off,0.7788821628757254
TotEmp,E5_Ind,0.6331271443984505
TotEmp,E5_Svc,0.8888771309117117
TotEmp,E5_Ent,0.6173954528845503
TotEmp,E8_Ret,0.8215688107506605
TotEmp,E8_off,0.7897904728605382
TotEmp,E8_Ind,0.6331271443984505
TotEmp,E8_Svc,0.8316061347390892
TotEmp,E8_Ent,0.6173954528845503
TotEmp,E8_Ed,0.5516704961778719
TotEmp,E8_Hlth,0.7138929175226182
TotEmp,E_LowWageWk,0.8965784689182387
TotEmp,E_MedWageWk,0.9077639999359336
TotEmp,E_HiWageWk,0.9297908607232502
TotEmp,D3BPO3,0.5065093646334968
E5_Ret,TotPop,0.6933918395576848
E5_Ret,HH,0.7305310067449129
E5_Ret,AutoOwn1,0.6548428368393016
E5_Ret,AutoOwn2p,0.5956708927544075
E5_Ret,Workers,0.6951804513508508
E5_Ret,R_LowWageWk,0.679057479891639
E5_Ret,R_MedWageWk,0.6058471927234561
E5_Ret,R_HiWageWk,0.6146528500483753
E5_Ret,TotEmp,0.8215688107506605
E5_Ret,E5_Ret,1.0
E5_Ret,E5_Off,0.5512702808817289
E5_Ret,E5_Svc,0.7325065676804817
E5_Ret,E5_Ent,0.5017307251510819
